Song,ARTIST,Release Year,COMBINED,PlayCount
Peace of Mind,Boston,1976,Peace of Mind by Boston,132
Rock & Roll Band,Boston,1976,Rock & Roll Band by Boston,59
Smokin',Boston,1976,Smokin' by Boston,33
Lido Shuffle,Boz Scaggs,1976,Lido Shuffle by Boz Scaggs,11
Lowdown,Boz Scaggs,1976,Lowdown by Boz Scaggs,1
Hotel California,Eagles,1976,Hotel California by Eagles,109
Life in the Fast Lane,Eagles,1976,Life in the Fast Lane by Eagles,86
New Kid In Town,Eagles,1976,New Kid In Town by Eagles,2
Victim of Love,Eagles,1976,Victim of Love by Eagles,5
Livin' Thing,Electric Light Orchestra,1976,Livin' Thing by Electric Light Orchestra,12
A Trick of the Tail,Genesis,1976,A Trick of the Tail by Genesis,1
Crazy On You,Heart,1976,Crazy On You by Heart,125
Dreamboat Annie,Heart,1976,Dreamboat Annie by Heart,3
Magic Man,Heart,1976,Magic Man by Heart,115
The Ripper,Judas Priest,1976,The Ripper by Judas Priest,1
Carry On Wayward Son,Kansas,1976,Carry On Wayward Son by Kansas,134
Beth,Kiss,1976,Beth by Kiss,2
Calling Dr. Love,Kiss,1976,Calling Dr. Love by Kiss,4
Detroit Rock City,Kiss,1976,Detroit Rock City by Kiss,27
For Your Life,Led Zeppelin,1976,For Your Life by Led Zeppelin,1
Royal Orleans,Led Zeppelin,1976,Royal Orleans by Led Zeppelin,2
Gimme Back My Bullets,Lynyrd Skynyrd,1976,Gimme Back My Bullets by Lynyrd Skynyrd,4
Blinded by the Light,Manfred Mann,1976,Blinded by the Light by Manfred Mann,114
Love Hurts,Nazareth,1976,Love Hurts by Nazareth,26
STILL THE ONE,Orleans,1976,STILL THE ONE by Orleans,1
Silly Love Songs,Paul McCartney & Wings,1976,Silly Love Songs by Paul McCartney & Wings,3
Somebody To Love,Queen,1976,Somebody To Love by Queen,69
Tie Your Mother Down,Queen,1976,Tie Your Mother Down by Queen,4
You're My Best Friend,Queen,1976,You're My Best Friend by Queen,57
The First Cut Is The Deepest,Rod Stewart,1976,The First Cut Is The Deepest by Rod Stewart,24
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,Tonight's the Night (Gonna Be Alright) by Rod Stewart,2
Hand of Fate,Rolling Stones,1976,Hand of Fate by Rolling Stones,2
2112: Overture / The Temples of Syrinx (Chronicles Version),Rush,1976,2112: Overture / The Temples of Syrinx (Chronicles Version) by Rush,2
Fly Like an Eagle,Steve Miller Band,1976,Fly Like an Eagle by Steve Miller Band,85
Rock 'N Me,Steve Miller Band,1976,Rock 'N Me by Steve Miller Band,102
Take the Money and Run,Steve Miller Band,1976,Take the Money and Run by Steve Miller Band,71
Takin' It To The Streets,The Doobie Brothers,1976,Takin' It To The Streets by The Doobie Brothers,1
Life in the Fast Lane,The New Eagles,1976,Life in the Fast Lane by The New Eagles,3
Blitzkrieg Bop,The Ramones,1976,Blitzkrieg Bop by The Ramones,17
Jailbreak,Thin Lizzy,1976,Jailbreak by Thin Lizzy,16
The Boys Are Back In Town,Thin Lizzy,1976,The Boys Are Back In Town by Thin Lizzy,106
Lights Out (Live),UFO,1976,Lights Out (Live) by UFO,1
PLAY THAT FUNKY MUSIC,Wild Cherry,1976,PLAY THAT FUNKY MUSIC by Wild Cherry,4
Arrested For Driving While Blind,ZZ Top,1976,Arrested For Driving While Blind by ZZ Top,1
Let There Be Rock,AC/DC,1977,Let There Be Rock by AC/DC,3
Whole Lotta Rosie,AC/DC,1977,Whole Lotta Rosie by AC/DC,3
Draw The Line,Aerosmith,1977,Draw The Line by Aerosmith,1
Burnin' Sky,Bad Company,1977,Burnin' Sky by Bad Company,41
Movin' Out (Anthony's Song),Billy Joel,1977,Movin' Out (Anthony's Song) by Billy Joel,26
Only The Good Die Young,Billy Joel,1977,Only The Good Die Young by Billy Joel,21
Scenes From An Italian Restaurant,Billy Joel,1977,Scenes From An Italian Restaurant by Billy Joel,3
SHE'S ALWAYS A WOMAN,Billy Joel,1977,SHE'S ALWAYS A WOMAN by Billy Joel,1
The Stranger,Billy Joel,1977,The Stranger by Billy Joel,5
Godzilla,Blue Oyster Cult,1977,Godzilla by Blue Oyster Cult,9
I Love the Night,Blue Oyster Cult,1977,I Love the Night by Blue Oyster Cult,2
One Love,Bob Marley,1977,One Love by Bob Marley,2
Fire Down Below,Bob Seger,1977,Fire Down Below by Bob Seger,1
Mainstreet,Bob Seger,1977,Mainstreet by Bob Seger,7
Rock And Roll Never Forgets,Bob Seger,1977,Rock And Roll Never Forgets by Bob Seger,24
I Want You to Want Me,Cheap Trick,1977,I Want You to Want Me by Cheap Trick,110
We Just Disagree,Dave Mason,1977,We Just Disagree by Dave Mason,1
Heroes,David Bowie,1977,Heroes by David Bowie,3
Baby Hold On,Eddie Money,1977,Baby Hold On by Eddie Money,26
Alison,Elvis Costello,1977,Alison by Elvis Costello,13
Cocaine,Eric Clapton,1977,Cocaine by Eric Clapton,84
Lay Down Sally,Eric Clapton,1977,Lay Down Sally by Eric Clapton,10
The Core,Eric Clapton,1977,The Core by Eric Clapton,1
Wonderful Tonight,Eric Clapton,1977,Wonderful Tonight by Eric Clapton,15
Don't Stop,Fleetwood Mac,1977,Don't Stop by Fleetwood Mac,50
Dreams,Fleetwood Mac,1977,Dreams by Fleetwood Mac,53
Go Your Own Way,Fleetwood Mac,1977,Go Your Own Way by Fleetwood Mac,77
Gold Dust Woman,Fleetwood Mac,1977,Gold Dust Woman by Fleetwood Mac,37
I Don't Want To Know,Fleetwood Mac,1977,I Don't Want To Know by Fleetwood Mac,3
Never Going Back Again,Fleetwood Mac,1977,Never Going Back Again by Fleetwood Mac,1
Second Hand News,Fleetwood Mac,1977,Second Hand News by Fleetwood Mac,4
The Chain,Fleetwood Mac,1977,The Chain by Fleetwood Mac,65
You Make Loving Fun,Fleetwood Mac,1977,You Make Loving Fun by Fleetwood Mac,31
Cold As Ice,Foreigner,1977,Cold As Ice by Foreigner,102
Feels Like the First Time,Foreigner,1977,Feels Like the First Time by Foreigner,75
Barracuda,Heart,1977,Barracuda by Heart,113
Lust for Life,Iggy Pop,1977,Lust for Life by Iggy Pop,4
The Passenger,Iggy Pop,1977,The Passenger by Iggy Pop,1
Load Out/Stay,Jackson Browne,1977,Load Out/Stay by Jackson Browne,2
Running On Empty,Jackson Browne,1977,Running On Empty by Jackson Browne,39
The Load-out/stay,Jackson Browne,1977,The Load-out/stay by Jackson Browne,21
The Road and the Sky,Jackson Browne,1977,The Road and the Sky by Jackson Browne,1
Margaritaville,Jimmy Buffett,1977,Margaritaville by Jimmy Buffett,17
Roadrunner,Jonathan Richman,1977,Roadrunner by Jonathan Richman,1
Dust In The Wind,Kansas,1977,Dust In The Wind by Kansas,62
Point of Know Return,Kansas,1977,Point of Know Return by Kansas,30
I Know a Little,Lynyrd Skynyrd,1977,I Know a Little by Lynyrd Skynyrd,4
That Smell,Lynyrd Skynyrd,1977,That Smell by Lynyrd Skynyrd,24
What's Your Name,Lynyrd Skynyrd,1977,What's Your Name by Lynyrd Skynyrd,64
Paradise By The Dashboard Light,Meat Loaf,1977,Paradise By The Dashboard Light by Meat Loaf,10
TWO OUT OF THREE AIN'T BAD,Meat Loaf,1977,TWO OUT OF THREE AIN'T BAD by Meat Loaf,1
You Took The Words Right Out Of My Mouth,Meat Loaf,1977,You Took The Words Right Out Of My Mouth by Meat Loaf,9
Like a Hurricane,Neil Young,1977,Like a Hurricane by Neil Young,2
Solsbury Hill,Peter Gabriel,1977,Solsbury Hill by Peter Gabriel,31
Dogs,Pink Floyd,1977,Dogs by Pink Floyd,1
Don't Stop Me Now,Queen,1977,Don't Stop Me Now by Queen,2
We Are the Champions,Queen,1977,We Are the Champions by Queen,15
We Will Rock You,Queen,1977,We Will Rock You by Queen,14
We Will Rock You/We Are The Champions,Queen,1977,We Will Rock You/We Are The Champions by Queen,89
Black Betty,Ram Jam,1977,Black Betty by Ram Jam,57
You're In My Heart (The Final Acclaim),Rod Stewart,1977,You're In My Heart (The Final Acclaim) by Rod Stewart,1
Closer to the Heart,Rush,1977,Closer to the Heart by Rush,31
Europa,Santana,1977,Europa by Santana,4
God Save The Queen,Sex Pistols,1977,God Save The Queen by Sex Pistols,26
Black Cow,Steely Dan,1977,Black Cow by Steely Dan,2
Deacon Blues,Steely Dan,1977,Deacon Blues by Steely Dan,1
Dirty Work,Steely Dan,1977,Dirty Work by Steely Dan,1
Peg,Steely Dan,1977,Peg by Steely Dan,3
Jet Airliner,Steve Miller Band,1977,Jet Airliner by Steve Miller Band,42
Jungle Love,Steve Miller Band,1977,Jungle Love by Steve Miller Band,43
Come Sail Away,Styx,1977,Come Sail Away by Styx,93
Fooling Yourself,Styx,1977,Fooling Yourself by Styx,24
GRAND ILLUSION,Styx,1977,GRAND ILLUSION by Styx,1
The Grand Illusion,Styx,1977,The Grand Illusion by Styx,14
Give a Little Bit,Supertramp,1977,Give a Little Bit by Supertramp,73
Psycho Killer,Talking Heads,1977,Psycho Killer by Talking Heads,8
Cat Scratch Fever,Ted Nugent,1977,Cat Scratch Fever by Ted Nugent,20
Free for All,Ted Nugent,1977,Free for All by Ted Nugent,10
Breakdown,The Alan Parsons Project,1977,Breakdown by The Alan Parsons Project,5
Isn't It Time,The Babys,1977,Isn't It Time by The Babys,1
HEARD IT IN A LOVE SONG,The Marshall Tucker Band,1977,HEARD IT IN A LOVE SONG by The Marshall Tucker Band,1
American Girl,Tom Petty & The Heartbreakers,1977,American Girl by Tom Petty & The Heartbreakers,74
Breakdown,Tom Petty & The Heartbreakers,1977,Breakdown by Tom Petty & The Heartbreakers,88
Big Shot,Billy Joel,1978,Big Shot by Billy Joel,27
My Life,Billy Joel,1978,My Life by Billy Joel,11
Heart of Glass,Blondie,1978,Heart of Glass by Blondie,11
One Way Or Another,Blondie,1978,One Way Or Another by Blondie,21
Hollywood Nights,Bob Seger,1978,Hollywood Nights by Bob Seger,43
Old Time Rock & Roll,Bob Seger,1978,Old Time Rock & Roll by Bob Seger,42
Still the Same,Bob Seger,1978,Still the Same by Bob Seger,15
We've Got Tonite,Bob Seger,1978,We've Got Tonite by Bob Seger,1
Don't Look Back,Boston,1978,Don't Look Back by Boston,86
Badlands,Bruce Springsteen,1978,Badlands by Bruce Springsteen,2
Prove It All Night,Bruce Springsteen,1978,Prove It All Night by Bruce Springsteen,2
Racing in the Streets,Bruce Springsteen,1978,Racing in the Streets by Bruce Springsteen,1
Surrender,Cheap Trick,1978,Surrender by Cheap Trick,57
Down To The Waterline,Dire Straits,1978,Down To The Waterline by Dire Straits,12
Sultans of Swing,Dire Straits,1978,Sultans of Swing by Dire Straits,79
Sweet Talkin' Woman,Electric Light Orchestra,1978,Sweet Talkin' Woman by Electric Light Orchestra,3
Turn To Stone,Electric Light Orchestra,1978,Turn To Stone by Electric Light Orchestra,5
Pump It Up,Elvis Costello,1978,Pump It Up by Elvis Costello,3
Double Vision,Foreigner,1978,Double Vision by Foreigner,83
Hot Blooded,Foreigner,1978,Hot Blooded by Foreigner,82
Follow You Follow Me,Genesis,1978,Follow You Follow Me by Genesis,18
Baker Street,Gerry Rafferty,1978,Baker Street by Gerry Rafferty,16
Right Down the Line,Gerry Rafferty,1978,Right Down the Line by Gerry Rafferty,8
Straight On,Heart,1978,Straight On by Heart,36
Thunder Island,Jay Ferguson,1978,Thunder Island by Jay Ferguson,3
Son of a Son of a Sailor,Jimmy Buffett,1978,Son of a Son of a Sailor by Jimmy Buffett,1
I Need A Lover,John Mellencamp,1978,I Need A Lover by John Mellencamp,24
Feeling That Way,Journey,1978,Feeling That Way by Journey,13
Lights,Journey,1978,Lights by Journey,93
Wheel in the Sky,Journey,1978,Wheel in the Sky by Journey,114
"Hey Hey, My My",Neil Young,1978,"Hey Hey, My My by Neil Young",14
Powderfinger,Neil Young,1978,Powderfinger by Neil Young,2
Bicycle Race,Queen,1978,Bicycle Race by Queen,3
Bicycle Race/fat Bottomed Girls,Queen,1978,Bicycle Race/fat Bottomed Girls by Queen,5
Fat Bottomed Girls,Queen,1978,Fat Bottomed Girls by Queen,70
Beast Of Burden,Rolling Stones,1978,Beast Of Burden by Rolling Stones,86
Miss You,Rolling Stones,1978,Miss You by Rolling Stones,89
Shattered,Rolling Stones,1978,Shattered by Rolling Stones,36
The Trees,Rush,1978,The Trees by Rush,1
Red,Sammy Hagar,1978,Red by Sammy Hagar,3
Driver's Seat,Sniff 'n' the Tears,1978,Driver's Seat by Sniff 'n' the Tears,7
Fm {no Static At All},Steely Dan,1978,Fm {no Static At All} by Steely Dan,1
Blue Collar Man,Styx,1978,Blue Collar Man by Styx,61
Renegade,Styx,1978,Renegade by Styx,116
Love Is Like Oxygen,Sweet,1978,Love Is Like Oxygen by Sweet,1
Bye Bye Love,The Cars,1978,Bye Bye Love by The Cars,48
Just What I Needed,The Cars,1978,Just What I Needed by The Cars,113
Moving In Stereo,The Cars,1978,Moving In Stereo by The Cars,53
What a Fool Believes,The Doobie Brothers,1978,What a Fool Believes by The Doobie Brothers,5
Can't Stand Losing You,The Police,1978,Can't Stand Losing You by The Police,6
Roxanne,The Police,1978,Roxanne by The Police,75
So Lonely,The Police,1978,So Lonely by The Police,3
I Wanna Be Sedated,The Ramones,1978,I Wanna Be Sedated by The Ramones,23
Who Are You,The Who,1978,Who Are You by The Who,94
Hold The Line,Toto,1978,Hold The Line by Toto,72
Ain't Talkin' 'bout Love,Van Halen,1978,Ain't Talkin' 'bout Love by Van Halen,69
Eruption - You Really Got Me,Van Halen,1978,Eruption - You Really Got Me by Van Halen,25
Ice Cream Man,Van Halen,1978,Ice Cream Man by Van Halen,13
I'm the One,Van Halen,1978,I'm the One by Van Halen,4
Jamie's Cryin',Van Halen,1978,Jamie's Cryin' by Van Halen,96
Runnin' with the Devil,Van Halen,1978,Runnin' with the Devil by Van Halen,81
You Really Got Me,Van Halen,1978,You Really Got Me by Van Halen,70
"Lawyers, Guns and Money",Warren Zevon,1978,"Lawyers, Guns and Money by Warren Zevon",3
Werewolves of London,Warren Zevon,1978,Werewolves of London by Warren Zevon,52
Highway To Hell,AC/DC,1979,Highway To Hell by AC/DC,92
Night Prowler,AC/DC,1979,Night Prowler by AC/DC,1
Shot Down In Flames,AC/DC,1979,Shot Down In Flames by AC/DC,2
Touch Too Much,AC/DC,1979,Touch Too Much by AC/DC,2
"Train, Train",Blackfoot,1979,"Train, Train by Blackfoot",25
The Devil Went Down To Georgia,Charlie Daniels Band,1979,The Devil Went Down To Georgia by Charlie Daniels Band,25
Lady Writer,Dire Straits,1979,Lady Writer by Dire Straits,2
Heartache Tonight,Eagles,1979,Heartache Tonight by Eagles,30
I Can't Tell You Why,Eagles,1979,I Can't Tell You Why by Eagles,2
In The City,Eagles,1979,In The City by Eagles,44
The Long Run,Eagles,1979,The Long Run by Eagles,50
Those Shoes,Eagles,1979,Those Shoes by Eagles,14
Don't Bring Me Down,Electric Light Orchestra,1979,Don't Bring Me Down by Electric Light Orchestra,85
Tusk,Fleetwood Mac,1979,Tusk by Fleetwood Mac,6
Dirty White Boy,Foreigner,1979,Dirty White Boy by Foreigner,17
Joe's Garage,Frank Zappa,1979,Joe's Garage by Frank Zappa,1
CARS,Gary Numan,1979,CARS by Gary Numan,1
Grey Ghost,Henry Paul Band,1979,Grey Ghost by Henry Paul Band,1
Jane,Jefferson Starship,1979,Jane by Jefferson Starship,32
Is She Really Going Out With Him?,Joe Jackson,1979,Is She Really Going Out With Him? by Joe Jackson,6
In the City,Joe Walsh,1979,In the City by Joe Walsh,6
"Lovin', Touchin' Squeezin'",Journey,1979,"Lovin', Touchin' Squeezin' by Journey",60
All My Love,Led Zeppelin,1979,All My Love by Led Zeppelin,83
Fool In the Rain,Led Zeppelin,1979,Fool In the Rain by Led Zeppelin,69
Hot Dog,Led Zeppelin,1979,Hot Dog by Led Zeppelin,4
In the Evening,Led Zeppelin,1979,In the Evening by Led Zeppelin,11
South Bound Saurez,Led Zeppelin,1979,South Bound Saurez by Led Zeppelin,1
"My My, Hey Hey",Neil Young,1979,"My My, Hey Hey by Neil Young",3
Heartbreaker,Pat Benatar,1979,Heartbreaker by Pat Benatar,80
Another Brick In The Wall,Pink Floyd,1979,Another Brick In The Wall by Pink Floyd,29
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,"Another Brick in the Wall, Pt. 2 by Pink Floyd",58
Comfortably Numb,Pink Floyd,1979,Comfortably Numb by Pink Floyd,92
Empty Spaces,Pink Floyd,1979,Empty Spaces by Pink Floyd,8
Empty Spaces/young Lust,Pink Floyd,1979,Empty Spaces/young Lust by Pink Floyd,12
Goodbye Blue Sky,Pink Floyd,1979,Goodbye Blue Sky by Pink Floyd,11
Hey You,Pink Floyd,1979,Hey You by Pink Floyd,65
Mother,Pink Floyd,1979,Mother by Pink Floyd,19
Run Like Hell,Pink Floyd,1979,Run Like Hell by Pink Floyd,59
The Happiest Days Of Our Lives/another Brick In The Wall,Pink Floyd,1979,The Happiest Days Of Our Lives/another Brick In The Wall by Pink Floyd,44
Young Lust,Pink Floyd,1979,Young Lust by Pink Floyd,59
Crazy Little Thing Called Love,Queen,1979,Crazy Little Thing Called Love by Queen,57
Since You Been Gone,Rainbow,1979,Since You Been Gone by Rainbow,14
Bad Case Of Lovin' You,Robert Palmer,1979,Bad Case Of Lovin' You by Robert Palmer,42
The Logical Song,Roger Hodgson,1979,The Logical Song by Roger Hodgson,1
Trans Am (Highway Wonderland),Sammy Hagar,1979,Trans Am (Highway Wonderland) by Sammy Hagar,2
Breakfast in America,Supertramp,1979,Breakfast in America by Supertramp,56
Goodbye Stranger,Supertramp,1979,Goodbye Stranger by Supertramp,60
Take the Long Way Home,Supertramp,1979,Take the Long Way Home by Supertramp,46
The Logical Song,Supertramp,1979,The Logical Song by Supertramp,76
Life During Wartime,Talking Heads,1979,Life During Wartime by Talking Heads,23
Let's Go,The Cars,1979,Let's Go by The Cars,73
Clampdown,The Clash,1979,Clampdown by The Clash,2
London Calling,The Clash,1979,London Calling by The Clash,8
Train In Vain,The Clash,1979,Train In Vain by The Clash,12
My Sharona,The Knack,1979,My Sharona by The Knack,13
Message In A Bottle,The Police,1979,Message In A Bottle by The Police,86
Walking On The Moon,The Police,1979,Walking On The Moon by The Police,13
Don't Do Me Like That,Tom Petty & The Heartbreakers,1979,Don't Do Me Like That by Tom Petty & The Heartbreakers,69
Here Comes My Girl,Tom Petty & The Heartbreakers,1979,Here Comes My Girl by Tom Petty & The Heartbreakers,17
Refugee,Tom Petty & The Heartbreakers,1979,Refugee by Tom Petty & The Heartbreakers,97
Hold On,Triumph,1979,Hold On by Triumph,1
Beautiful Girls,Van Halen,1979,Beautiful Girls by Van Halen,44
Dance the Night Away,Van Halen,1979,Dance the Night Away by Van Halen,106
Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,18
Back In Black,AC/DC,1980,Back In Black by AC/DC,97
Have a Drink On Me,AC/DC,1980,Have a Drink On Me by AC/DC,39
Hells Bells,AC/DC,1980,Hells Bells by AC/DC,74
Rock and Roll Ain't Noise Pollution,AC/DC,1980,Rock and Roll Ain't Noise Pollution by AC/DC,21
You Shook Me All Night Long,AC/DC,1980,You Shook Me All Night Long by AC/DC,138
Dancing With Myself,Billy Idol,1980,Dancing With Myself by Billy Idol,20
It's Still Rock And Roll To Me,Billy Joel,1980,It's Still Rock And Roll To Me by Billy Joel,22
Sometimes A Fantasy,Billy Joel,1980,Sometimes A Fantasy by Billy Joel,3
You May Be Right,Billy Joel,1980,You May Be Right by Billy Joel,30
Heaven and Hell,Black Sabbath,1980,Heaven and Hell by Black Sabbath,1
Neon Knights,Black Sabbath,1980,Neon Knights by Black Sabbath,1
Call Me,Blondie,1980,Call Me by Blondie,26
Against The Wind,Bob Seger,1980,Against The Wind by Bob Seger,39
Her Strut,Bob Seger,1980,Her Strut by Bob Seger,29
Hungry Heart,Bruce Springsteen,1980,Hungry Heart by Bruce Springsteen,7
In America,Charlie Daniels Band,1980,In America by Charlie Daniels Band,1
Fashion,David Bowie,1980,Fashion by David Bowie,17
Expresso Love,Dire Straits,1980,Expresso Love by Dire Straits,10
Romeo And Juliet,Dire Straits,1980,Romeo And Juliet by Dire Straits,8
Ah! Leah!,Donnie Iris,1980,Ah! Leah! by Donnie Iris,13
Seven Bridges Road,Eagles,1980,Seven Bridges Road by Eagles,14
Sara,Fleetwood Mac,1980,Sara by Fleetwood Mac,1
Misunderstanding,Genesis,1980,Misunderstanding by Genesis,23
Turn It On Again,Genesis,1980,Turn It On Again by Genesis,23
All Night Long,Joe Walsh,1980,All Night Long by Joe Walsh,41
Watching the Wheels,John Lennon,1980,Watching the Wheels by John Lennon,14
Woman,John Lennon,1980,Woman by John Lennon,1
Any Way You Want It,Journey,1980,Any Way You Want It by Journey,105
Breaking The Law,Judas Priest,1980,Breaking The Law by Judas Priest,7
Living After Midnight,Judas Priest,1980,Living After Midnight by Judas Priest,32
I'm Alright,Kenny Loggins,1980,I'm Alright by Kenny Loggins,5
The Kid Is Hot Tonite,Loverboy,1980,The Kid Is Hot Tonite by Loverboy,2
Turn Me Loose,Loverboy,1980,Turn Me Loose by Loverboy,16
Crazy Train,Ozzy Osbourne,1980,Crazy Train by Ozzy Osbourne,79
Goodbye To Romance,Ozzy Osbourne,1980,Goodbye To Romance by Ozzy Osbourne,2
I Don't Know,Ozzy Osbourne,1980,I Don't Know by Ozzy Osbourne,8
Mr. Crowley,Ozzy Osbourne,1980,Mr. Crowley by Ozzy Osbourne,5
Hell Is for Children,Pat Benatar,1980,Hell Is for Children by Pat Benatar,1
Hit Me With Your Best Shot,Pat Benatar,1980,Hit Me With Your Best Shot by Pat Benatar,62
You Better Run,Pat Benatar,1980,You Better Run by Pat Benatar,1
Coming Up,Paul McCartney & Wings,1980,Coming Up by Paul McCartney & Wings,3
Let My Love Open the Door,Pete Townshend,1980,Let My Love Open the Door by Pete Townshend,38
Rough Boys,Pete Townshend,1980,Rough Boys by Pete Townshend,2
Games Without Frontiers,Peter Gabriel,1980,Games Without Frontiers by Peter Gabriel,3
Another One Bites the Dust,Queen,1980,Another One Bites the Dust by Queen,102
Keep On Loving You,REO Speedwagon,1980,Keep On Loving You by REO Speedwagon,23
Dance Little Sister,Rolling Stones,1980,Dance Little Sister by Rolling Stones,1
Emotional Rescue,Rolling Stones,1980,Emotional Rescue by Rolling Stones,1
Entre Nous,Rush,1980,Entre Nous by Rush,2
Freewill,Rush,1980,Freewill by Rush,60
The Spirit of Radio,Rush,1980,The Spirit of Radio by Rush,77
The Zoo,Scorpions,1980,The Zoo by Scorpions,16
Pulling Mussels,Squeeze,1980,Pulling Mussels by Squeeze,2
Hey Nineteen,Steely Dan,1980,Hey Nineteen by Steely Dan,8
While You See a Chance,Steve Winwood,1980,While You See a Chance by Steve Winwood,4
Once In A Lifetime,Talking Heads,1980,Once In A Lifetime by Talking Heads,46
"De Do Do Do, De Da Da Da",The Police,1980,"De Do Do Do, De Da Da Da by The Police",19
Don't Stand So Close To Me,The Police,1980,Don't Stand So Close To Me by The Police,64
Driven to Tears,The Police,1980,Driven to Tears by The Police,4
Brass In Pocket,The Pretenders,1980,Brass In Pocket by The Pretenders,51
TALK OF THE TOWN,The Pretenders,1980,TALK OF THE TOWN by The Pretenders,1
Do You Remember Rock 'n' Roll Radio,The Ramones,1980,Do You Remember Rock 'n' Roll Radio by The Ramones,16
What I Like About You,The Romantics,1980,What I Like About You by The Romantics,29
I Will Follow,U2,1980,I Will Follow by U2,4
And the Cradle Will Rock...,Van Halen,1980,And the Cradle Will Rock... by Van Halen,43
Everybody Wants Some!!,Van Halen,1980,Everybody Wants Some!! by Van Halen,16
Fool for Your Loving,Whitesnake,1980,Fool for Your Loving by Whitesnake,3
Persephone,Wishbone Ash,1980,Persephone by Wishbone Ash,1
Cheap Sunglasses,ZZ Top,1980,Cheap Sunglasses by ZZ Top,34
Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,85
For Those About To Rock,AC/DC,1981,For Those About To Rock by AC/DC,46
Lonely Is the Night,Billy Squier,1981,Lonely Is the Night by Billy Squier,80
The Stroke,Billy Squier,1981,The Stroke by Billy Squier,83
Burnin' for You,Blue Oyster Cult,1981,Burnin' for You by Blue Oyster Cult,107
Heavy Metal,Don Felder,1981,Heavy Metal by Don Felder,12
Love Is Like A Rock,Donnie Iris,1981,Love Is Like A Rock by Donnie Iris,1
I Can't Stand It,Eric Clapton,1981,I Can't Stand It by Eric Clapton,9
Juke Box Hero,Foreigner,1981,Juke Box Hero by Foreigner,75
Urgent,Foreigner,1981,Urgent by Foreigner,61
Waiting for a Girl Like You,Foreigner,1981,Waiting for a Girl Like You by Foreigner,5
Abacab,Genesis,1981,Abacab by Genesis,35
Man On The Corner,Genesis,1981,Man On The Corner by Genesis,12
No Reply At All,Genesis,1981,No Reply At All by Genesis,18
The Break Up Song,Greg Kihn Band,1981,The Break Up Song by Greg Kihn Band,49
Centerfold,J. Geils Band,1981,Centerfold by J. Geils Band,78
Freeze-frame,J. Geils Band,1981,Freeze-frame by J. Geils Band,17
Bad Reputation,Joan Jett,1981,Bad Reputation by Joan Jett,1
I Love Rock 'n Roll,Joan Jett,1981,I Love Rock 'n Roll by Joan Jett,82
A Life Of Illusion,Joe Walsh,1981,A Life Of Illusion by Joe Walsh,5
Don't Stop Believin',Journey,1981,Don't Stop Believin' by Journey,105
Who's Crying Now,Journey,1981,Who's Crying Now by Journey,29
Working for the Weekend,Loverboy,1981,Working for the Weekend by Loverboy,27
Diary Of A Madman,Ozzy Osbourne,1981,Diary Of A Madman by Ozzy Osbourne,1
Flying High Again,Ozzy Osbourne,1981,Flying High Again by Ozzy Osbourne,44
Over the Mountain,Ozzy Osbourne,1981,Over the Mountain by Ozzy Osbourne,16
In the Air Tonight,Phil Collins,1981,In the Air Tonight by Phil Collins,93
Under Pressure,Queen,1981,Under Pressure by Queen,12
Under Pressure,Queen / David Bowie,1981,Under Pressure by Queen / David Bowie,73
Lunatic Fringe,Red Rider,1981,Lunatic Fringe by Red Rider,52
Take It on the Run,REO Speedwagon,1981,Take It on the Run by REO Speedwagon,46
Jessie's Girl,Rick Springfield,1981,Jessie's Girl by Rick Springfield,2
Hang Fire,Rolling Stones,1981,Hang Fire by Rolling Stones,2
Start Me Up,Rolling Stones,1981,Start Me Up by Rolling Stones,83
Waiting on a Friend,Rolling Stones,1981,Waiting on a Friend by Rolling Stones,3
Limelight,Rush,1981,Limelight by Rush,90
Red Barchetta,Rush,1981,Red Barchetta by Rush,11
Tom Sawyer,Rush,1981,Tom Sawyer by Rush,114
YYZ,Rush,1981,YYZ by Rush,2
There's Only One Way to Rock,Sammy Hagar,1981,There's Only One Way to Rock by Sammy Hagar,15
Tainted Love,Soft Cell,1981,Tainted Love by Soft Cell,1
Tempted,Squeeze,1981,Tempted by Squeeze,22
Edge of Seventeen,Stevie Nicks,1981,Edge of Seventeen by Stevie Nicks,78
Leather and Lace,Stevie Nicks,1981,Leather and Lace by Stevie Nicks,3
Stop Draggin' My Heart Around,Stevie Nicks,1981,Stop Draggin' My Heart Around by Stevie Nicks,7
Stop Draggin' My Heart Around,Stevie Nicks w/ Tom Petty and the Heartbreakers,1981,Stop Draggin' My Heart Around by Stevie Nicks w/ Tom Petty and the Heartbreakers,9
Too Much Time On My Hands,Styx,1981,Too Much Time On My Hands by Styx,46
Games People Play,The Alan Parsons Project,1981,Games People Play by The Alan Parsons Project,3
Shake It Up,The Cars,1981,Shake It Up by The Cars,27
Destroyer,The Kinks,1981,Destroyer by The Kinks,3
Every Little Thing She Does Is Magic,The Police,1981,Every Little Thing She Does Is Magic by The Police,60
Invisible Sun,The Police,1981,Invisible Sun by The Police,2
Spirits In The Material World,The Police,1981,Spirits In The Material World by The Police,19
