Song,ARTIST,Release Year,COMBINED,PlayCount
Moonlight Drive,The Doors,1967,Moonlight Drive by The Doors,17
People Are Strange,The Doors,1967,People Are Strange by The Doors,53
Roadhouse Blues,The Doors,1967,Roadhouse Blues by The Doors,49
The Crystal Ship,The Doors,1967,The Crystal Ship by The Doors,11
Twentieth Century Fox,The Doors,1967,Twentieth Century Fox by The Doors,2
When the Music's Over,The Doors,1967,When the Music's Over by The Doors,1
Waterloo Sunset,The Kinks,1967,Waterloo Sunset by The Kinks,9
Itchycoo Park,The Small Faces,1967,Itchycoo Park by The Small Faces,1
I'm A Man,The Spencer Davis Group,1967,I'm A Man by The Spencer Davis Group,1
Happy Together,Turtles,1967,Happy Together by Turtles,1
Brown Eyed Girl,Van Morrison,1967,Brown Eyed Girl by Van Morrison,55
Ramblin' Gamblin' Man,Bob Seger,1968,Ramblin' Gamblin' Man by Bob Seger,12
Goin' up the Country,Canned Heat,1968,Goin' up the Country by Canned Heat,2
On the Road Again,Canned Heat,1968,On the Road Again by Canned Heat,1
Crossroads,Cream,1968,Crossroads by Cream,22
White Room,Cream,1968,White Room by Cream,68
Suzie Q,Creedence Clearwater Revival,1968,Suzie Q by Creedence Clearwater Revival,8
Hush,Deep Purple,1968,Hush by Deep Purple,14
Kentucky Woman,Deep Purple,1968,Kentucky Woman by Deep Purple,2
In A Gadda Da Vida,Iron Butterfly,1968,In A Gadda Da Vida by Iron Butterfly,1
Piece of My Heart,Janis Joplin,1968,Piece of My Heart by Janis Joplin,28
All Along the Watchtower,Jimi Hendrix,1968,All Along the Watchtower by Jimi Hendrix,141
Crosstown Traffic,Jimi Hendrix,1968,Crosstown Traffic by Jimi Hendrix,8
Voodoo Child (Slight Return),Jimi Hendrix,1968,Voodoo Child (Slight Return) by Jimi Hendrix,2
With A Little Help From My Friends,Joe Cocker,1968,With A Little Help From My Friends by Joe Cocker,9
(Sittin' On) The Dock of the Bay,Otis Redding,1968,(Sittin' On) The Dock of the Bay by Otis Redding,5
Set The Controls For The Heart Of The Sun,Pink Floyd,1968,Set The Controls For The Heart Of The Sun by Pink Floyd,1
Jumpin' Jack Flash,Rolling Stones,1968,Jumpin' Jack Flash by Rolling Stones,72
Street Fighting Man,Rolling Stones,1968,Street Fighting Man by Rolling Stones,8
Sympathy For The Devil,Rolling Stones,1968,Sympathy For The Devil by Rolling Stones,81
America,Simon & Garfunkel,1968,America by Simon & Garfunkel,1
Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson by Simon & Garfunkel,13
Born to Be Wild,Steppenwolf,1968,Born to Be Wild by Steppenwolf,53
Magic Carpet Ride,Steppenwolf,1968,Magic Carpet Ride by Steppenwolf,65
Journey to the Center of the Mind,The Amboy Dukes,1968,Journey to the Center of the Mind by The Amboy Dukes,1
Monterey,The Animals,1968,Monterey by The Animals,3
Chest Fever,The Band,1968,Chest Fever by The Band,1
The Weight,The Band,1968,The Weight by The Band,24
Back In the U.S.S.R.,The Beatles,1968,Back In the U.S.S.R. by The Beatles,28
Blackbird,The Beatles,1968,Blackbird by The Beatles,3
Dear Prudence,The Beatles,1968,Dear Prudence by The Beatles,1
Everybody's Got Something To Hide Except Me And My Monk,The Beatles,1968,Everybody's Got Something To Hide Except Me And My Monk by The Beatles,1
Helter Skelter,The Beatles,1968,Helter Skelter by The Beatles,5
Hey Jude,The Beatles,1968,Hey Jude by The Beatles,22
