Title,Year,Studio,Genre,Budget,USboxOffice,OpenWeekend,MovieLength,TrailerLength,Director,DirectorGender,DirectorRace,Star,StarGender,StarRace,Costar,CostarGender,CostarRace,IMDbRating,Metascore,Metacritic,RottenTomatoes,NumberOscars,OscarNoms,OscarWinner
Spotlight,2015,Open Road,Drama,20,45.1,0.295,129,62,Tom McCarthy,Male,W,Mark Ruffalo,Male,W,Michael Keaton,Male,W,8.1,93,90,97,2,6,yes
Star Wars,1977,Lucasfilm,Action/Adventure,11,460.9,35.9,121,31,George Lucas,Male,W,Mark Hamill,Male,W,Harrison Ford,Male,W,8.8,91,13,94,7,10,yes
Star Wars - Episode I,1999,Lucasfilm,Action/Adventure,115,431.1,22.5,136,91,George Lucas,Male,W,Ewan McGregor,Male,W,Liam Neeson,Male,W,6.5,51,36,80,0,3,no
Star Wars - Episode II,2002,Lucasfilm,Action/Adventure,115,310.7,80,142,74,George Lucas,Male,W,Ewan McGregor,Male,W,Natalie Portman,Female,W,6.7,53,39,67,0,1,no
Star Wars - Episode III,2005,Lucasfilm,Action/Adventure,113,380.3,108.4,140,56,George Lucas,Male,W,Hayden Christensen,Male,W,Natalie Portman,Female,W,7.7,68,40,80,0,1,no
Star Wars - Episode VI,1983,Lucasfilm,Action/Adventure,33,309.1,30.5,134,74,Richard Marquand,Male,W,Mark Hamill,Male,W,Harrison Ford,Male,W,8.4,52,14,79,0,4,no
The Avengers,2012,Marvel,Action/Adventure,220,616,"",143,61,Joss Whedon,Male,W,"Robert Downey, Jr.",Male,W,Chris Evans,Male,W,8.7,69,43,92,"","",""
The Blind Side,2009,Alcon Entertainment,Drama,29,256,34.1,129,177,John Lee Hancock,Male,W,Quinton Aaron,Male,POC,Sandra Bullock,Female,W,7.6,53,29,66,1,2,yes
The Bourne Ultimatum,2007,Universal,Action/Adventure,110,227.2,69.3,115,30,Paul Greengrass,Male,W,Matt Damon,Male,W,Edgar Ramirez,Male,POC,8.1,85,38,94,3,3,yes
"The Chronicles of Narnia: The Lion, The Witch, and The Wardrobe",2005,Walt Disney,Action/Adventure,180,291.7,65.6,143,147,Andrew Adamson,Male,W,Tilda Swinton,Female,W,Georgie Henley,Female,W,6.9,75,39,76,1,3,yes
