end_result,game,game_id,period,play,player,playoffs,score,season,shot_made,time
90 - 115,MIN - DET,400828373,3,Kentavious Caldwell-Pope makes free throw 2 of 3,Kentavious Caldwell-Pope,regular,57 - 70,2015 - 2016,1,4:28
90 - 115,MIN - DET,400828373,3,Kentavious Caldwell-Pope makes free throw 3 of 3,Kentavious Caldwell-Pope,regular,57 - 71,2015 - 2016,1,4:28
90 - 115,MIN - DET,400828373,3,Shabazz Muhammad misses free throw 1 of 2,Shabazz Muhammad,regular,59 - 71,2015 - 2016,0,3:31
90 - 115,MIN - DET,400828373,3,Shabazz Muhammad makes free throw 2 of 2,Shabazz Muhammad,regular,60 - 71,2015 - 2016,1,3:31
90 - 115,MIN - DET,400828373,3,Andre Drummond misses free throw 1 of 2,Andre Drummond,regular,64 - 76,2015 - 2016,0,2:05
90 - 115,MIN - DET,400828373,3,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,64 - 76,2015 - 2016,0,2:05
90 - 115,MIN - DET,400828373,3,Zach LaVine misses free throw 1 of 2,Zach LaVine,regular,64 - 76,2015 - 2016,0,1:55
90 - 115,MIN - DET,400828373,3,Zach LaVine makes free throw 2 of 2,Zach LaVine,regular,65 - 76,2015 - 2016,1,1:55
90 - 115,MIN - DET,400828373,3,Zach LaVine misses free throw 1 of 2,Zach LaVine,regular,69 - 78,2015 - 2016,0,0:03
90 - 115,MIN - DET,400828373,3,Zach LaVine makes free throw 2 of 2,Zach LaVine,regular,70 - 78,2015 - 2016,1,0:03
90 - 115,MIN - DET,400828373,4,Kentavious Caldwell-Pope makes free throw 1 of 1,Kentavious Caldwell-Pope,regular,72 - 84,2015 - 2016,1,11:00
90 - 115,MIN - DET,400828373,4,Karl-Anthony Towns makes free throw 1 of 2,Karl-Anthony Towns,regular,73 - 87,2015 - 2016,1,9:47
90 - 115,MIN - DET,400828373,4,Karl-Anthony Towns makes free throw 2 of 2,Karl-Anthony Towns,regular,74 - 87,2015 - 2016,1,9:47
90 - 115,MIN - DET,400828373,4,Andrew Wiggins makes free throw 1 of 1,Andrew Wiggins,regular,77 - 90,2015 - 2016,1,8:07
90 - 115,MIN - DET,400828373,4,Kentavious Caldwell-Pope makes free throw 1 of 1,Kentavious Caldwell-Pope,regular,79 - 101,2015 - 2016,1,6:00
90 - 115,MIN - DET,400828373,4,Reggie Jackson makes free throw 1 of 1,Reggie Jackson,regular,82 - 107,2015 - 2016,1,4:09
90 - 115,MIN - DET,400828373,4,Darrun Hilliard makes free throw 1 of 2,Darrun Hilliard,regular,84 - 111,2015 - 2016,1,3:13
90 - 115,MIN - DET,400828373,4,Darrun Hilliard makes free throw 2 of 2,Darrun Hilliard,regular,84 - 111,2015 - 2016,1,3:13
90 - 115,MIN - DET,400828373,4,Brandon Jennings misses free throw 1 of 1,Brandon Jennings,regular,90 - 113,2015 - 2016,0,0:42
90 - 115,MIN - DET,400828373,4,Darrun Hilliard makes free throw 1 of 2,Darrun Hilliard,regular,90 - 114,2015 - 2016,1,0:28
90 - 115,MIN - DET,400828373,4,Darrun Hilliard makes free throw 2 of 2,Darrun Hilliard,regular,90 - 115,2015 - 2016,1,0:28
95 - 89,LAC - NO,400828374,1,Eric Gordon makes free throw 1 of 2,Eric Gordon,regular,12-Sep,2015 - 2016,1,6:01
95 - 89,LAC - NO,400828374,1,Eric Gordon makes free throw 2 of 2,Eric Gordon,regular,13-Sep,2015 - 2016,1,6:01
95 - 89,LAC - NO,400828374,1,J.J. Redick makes free throw 1 of 2,J.J. Redick,regular,13-Oct,2015 - 2016,1,5:52
95 - 89,LAC - NO,400828374,1,J.J. Redick makes free throw 2 of 2,J.J. Redick,regular,13-Nov,2015 - 2016,1,5:52
95 - 89,LAC - NO,400828374,1,Jrue Holiday makes free throw 1 of 2,Jrue Holiday,regular,15 - 18,2015 - 2016,1,2:51
95 - 89,LAC - NO,400828374,1,Jrue Holiday makes free throw 2 of 2,Jrue Holiday,regular,15 - 19,2015 - 2016,1,2:51
95 - 89,LAC - NO,400828374,2,Jamal Crawford misses free throw 1 of 3,Jamal Crawford,regular,25 - 31,2015 - 2016,0,8:44
95 - 89,LAC - NO,400828374,2,Jamal Crawford makes free throw 2 of 3,Jamal Crawford,regular,26 - 31,2015 - 2016,1,8:44
95 - 89,LAC - NO,400828374,2,Jamal Crawford makes free throw 3 of 3,Jamal Crawford,regular,27 - 31,2015 - 2016,1,8:44
95 - 89,LAC - NO,400828374,2,Norris Cole misses free throw 1 of 2,Norris Cole,regular,29 - 35,2015 - 2016,0,6:52
95 - 89,LAC - NO,400828374,2,Norris Cole makes free throw 2 of 2,Norris Cole,regular,29 - 36,2015 - 2016,1,6:52
95 - 89,LAC - NO,400828374,2,Ryan Anderson makes free throw 1 of 2,Ryan Anderson,regular,41 - 44,2015 - 2016,1,3:40
95 - 89,LAC - NO,400828374,2,Ryan Anderson makes free throw 2 of 2,Ryan Anderson,regular,41 - 45,2015 - 2016,1,3:40
95 - 89,LAC - NO,400828374,2,Paul Pierce makes free throw 1 of 2,Paul Pierce,regular,42 - 45,2015 - 2016,1,3:32
95 - 89,LAC - NO,400828374,2,Paul Pierce makes free throw 2 of 2,Paul Pierce,regular,43 - 45,2015 - 2016,1,3:32
95 - 89,LAC - NO,400828374,2,Tyreke Evans misses free throw 1 of 2,Tyreke Evans,regular,47 - 47,2015 - 2016,0,1:06
95 - 89,LAC - NO,400828374,2,Tyreke Evans makes free throw 2 of 2,Tyreke Evans,regular,47 - 48,2015 - 2016,1,1:06
95 - 89,LAC - NO,400828374,3,DeAndre Jordan misses free throw 1 of 2,DeAndre Jordan,regular,59 - 53,2015 - 2016,0,5:31
95 - 89,LAC - NO,400828374,3,DeAndre Jordan makes free throw 2 of 2,DeAndre Jordan,regular,60 - 53,2015 - 2016,1,5:31
95 - 89,LAC - NO,400828374,3,Luc Richard Mbah a Moute misses free throw 1 of 1,Luc Richard,regular,64 - 58,2015 - 2016,0,3:40
95 - 89,LAC - NO,400828374,3,Jamal Crawford makes free throw 1 of 2,Jamal Crawford,regular,65 - 58,2015 - 2016,1,2:39
95 - 89,LAC - NO,400828374,3,Jamal Crawford makes free throw 2 of 2,Jamal Crawford,regular,66 - 58,2015 - 2016,1,2:39
95 - 89,LAC - NO,400828374,3,Austin Rivers makes free throw 1 of 1,Austin Rivers,regular,71 - 63,2015 - 2016,1,1:16
95 - 89,LAC - NO,400828374,3,Anthony Davis misses free throw 1 of 2,Anthony Davis,regular,71 - 63,2015 - 2016,0,0:30
95 - 89,LAC - NO,400828374,3,Anthony Davis misses free throw 2 of 2,Anthony Davis,regular,71 - 63,2015 - 2016,0,0:30
95 - 89,LAC - NO,400828374,4,Tyreke Evans misses free throw 1 of 2,Tyreke Evans,regular,84 - 83,2015 - 2016,0,2:42
95 - 89,LAC - NO,400828374,4,Tyreke Evans makes free throw 2 of 2,Tyreke Evans,regular,84 - 84,2015 - 2016,1,2:42
95 - 89,LAC - NO,400828374,4,J.J. Redick makes free throw 1 of 2,J.J. Redick,regular,85 - 84,2015 - 2016,1,2:08
95 - 89,LAC - NO,400828374,4,J.J. Redick makes free throw 2 of 2,J.J. Redick,regular,86 - 84,2015 - 2016,1,2:08
95 - 89,LAC - NO,400828374,4,Tyreke Evans makes free throw 1 of 1,Tyreke Evans,regular,86 - 87,2015 - 2016,1,1:47
95 - 89,LAC - NO,400828374,4,Chris Paul makes free throw 1 of 2,Chris Paul,regular,93 - 89,2015 - 2016,1,0:20
95 - 89,LAC - NO,400828374,4,Chris Paul makes free throw 2 of 2,Chris Paul,regular,94 - 89,2015 - 2016,1,0:20
95 - 89,LAC - NO,400828374,4,Chris Paul makes free throw 1 of 2,Chris Paul,regular,95 - 89,2015 - 2016,1,0:07
95 - 89,LAC - NO,400828374,4,Chris Paul misses free throw 2 of 2,Chris Paul,regular,95 - 89,2015 - 2016,0,0:07
106 - 110,PHX - OKC,400828375,1,Steven Adams makes free throw 1 of 2,Steven Adams,regular,13 - 12,2015 - 2016,1,6:13
106 - 110,PHX - OKC,400828375,1,Steven Adams makes free throw 2 of 2,Steven Adams,regular,13 - 13,2015 - 2016,1,6:13
106 - 110,PHX - OKC,400828375,1,Russell Westbrook makes free throw 1 of 2,Russell Westbrook,regular,20 - 23,2015 - 2016,1,3:01
106 - 110,PHX - OKC,400828375,1,Russell Westbrook makes free throw 2 of 2,Russell Westbrook,regular,20 - 24,2015 - 2016,1,3:01
106 - 110,PHX - OKC,400828375,1,Devin Booker makes free throw 1 of 2,Devin Booker,regular,25 - 28,2015 - 2016,1,0:56
106 - 110,PHX - OKC,400828375,1,Devin Booker makes free throw 2 of 2,Devin Booker,regular,26 - 28,2015 - 2016,1,0:56
106 - 110,PHX - OKC,400828375,2,Devin Booker makes free throw 1 of 2,Devin Booker,regular,27 - 28,2015 - 2016,1,11:37
106 - 110,PHX - OKC,400828375,2,Devin Booker makes free throw 2 of 2,Devin Booker,regular,28 - 28,2015 - 2016,1,11:37
106 - 110,PHX - OKC,400828375,2,Enes Kanter makes free throw 1 of 2,Enes Kanter,regular,33 - 34,2015 - 2016,1,10:03
106 - 110,PHX - OKC,400828375,2,Enes Kanter misses free throw 2 of 2,Enes Kanter,regular,33 - 34,2015 - 2016,0,10:03
106 - 110,PHX - OKC,400828375,2,Anthony Morrow makes free throw 1 of 2,Anthony Morrow,regular,36 - 35,2015 - 2016,1,9:23
106 - 110,PHX - OKC,400828375,2,Anthony Morrow misses free throw 2 of 2,Anthony Morrow,regular,36 - 35,2015 - 2016,0,9:23
106 - 110,PHX - OKC,400828375,2,Brandon Knight makes technical free throw,Brandon Knight,regular,49 - 47,2015 - 2016,1,2:50
106 - 110,PHX - OKC,400828375,2,Russell Westbrook makes free throw 1 of 2,Russell Westbrook,regular,49 - 48,2015 - 2016,1,2:31
106 - 110,PHX - OKC,400828375,2,Russell Westbrook makes free throw 2 of 2,Russell Westbrook,regular,49 - 49,2015 - 2016,1,2:31
106 - 110,PHX - OKC,400828375,2,Kevin Durant misses free throw 1 of 2,Kevin Durant,regular,51 - 51,2015 - 2016,0,1:46
106 - 110,PHX - OKC,400828375,2,Kevin Durant makes free throw 2 of 2,Kevin Durant,regular,51 - 52,2015 - 2016,1,1:46
106 - 110,PHX - OKC,400828375,2,Brandon Knight makes free throw 1 of 2,Brandon Knight,regular,52 - 52,2015 - 2016,1,0:31
106 - 110,PHX - OKC,400828375,2,Brandon Knight makes free throw 2 of 2,Brandon Knight,regular,53 - 52,2015 - 2016,1,0:31
106 - 110,PHX - OKC,400828375,3,Kevin Durant makes free throw 1 of 1,Kevin Durant,regular,53 - 59,2015 - 2016,1,11:06
106 - 110,PHX - OKC,400828375,3,T.J. Warren makes free throw 1 of 1,T.J. Warren,regular,58 - 59,2015 - 2016,1,10:07
106 - 110,PHX - OKC,400828375,3,T.J. Warren makes free throw 1 of 1,T.J. Warren,regular,65 - 62,2015 - 2016,1,7:22
106 - 110,PHX - OKC,400828375,3,Kevin Durant misses free throw 1 of 2,Kevin Durant,regular,65 - 62,2015 - 2016,0,7:05
106 - 110,PHX - OKC,400828375,3,Kevin Durant makes free throw 2 of 2,Kevin Durant,regular,65 - 63,2015 - 2016,1,7:05
106 - 110,PHX - OKC,400828375,3,Russell Westbrook makes free throw 1 of 2,Russell Westbrook,regular,71 - 75,2015 - 2016,1,3:25
106 - 110,PHX - OKC,400828375,3,Russell Westbrook makes free throw 2 of 2,Russell Westbrook,regular,71 - 76,2015 - 2016,1,3:25
106 - 110,PHX - OKC,400828375,3,Russell Westbrook makes free throw 1 of 1,Russell Westbrook,regular,73 - 79,2015 - 2016,1,2:42
106 - 110,PHX - OKC,400828375,3,Enes Kanter misses free throw 1 of 2,Enes Kanter,regular,78 - 84,2015 - 2016,0,0:49
106 - 110,PHX - OKC,400828375,3,Enes Kanter makes free throw 2 of 2,Enes Kanter,regular,78 - 85,2015 - 2016,1,0:49
106 - 110,PHX - OKC,400828375,4,T.J. Warren makes free throw 1 of 2,T.J. Warren,regular,94 - 100,2015 - 2016,1,5:28
106 - 110,PHX - OKC,400828375,4,T.J. Warren makes free throw 2 of 2,T.J. Warren,regular,95 - 100,2015 - 2016,1,5:28
106 - 110,PHX - OKC,400828375,4,Tyson Chandler makes free throw 1 of 1,Tyson Chandler,regular,98 - 100,2015 - 2016,1,4:50
106 - 110,PHX - OKC,400828375,4,Tyson Chandler misses free throw 1 of 1,Tyson Chandler,regular,102 - 102,2015 - 2016,0,1:34
106 - 110,PHX - OKC,400828375,4,Russell Westbrook makes free throw 1 of 2,Russell Westbrook,regular,104 - 107,2015 - 2016,1,0:18
106 - 110,PHX - OKC,400828375,4,Russell Westbrook makes free throw 2 of 2,Russell Westbrook,regular,104 - 108,2015 - 2016,1,0:18
106 - 110,PHX - OKC,400828375,4,Russell Westbrook makes free throw 1 of 2,Russell Westbrook,regular,106 - 109,2015 - 2016,1,0:14
106 - 110,PHX - OKC,400828375,4,Russell Westbrook makes free throw 2 of 2,Russell Westbrook,regular,106 - 110,2015 - 2016,1,0:14
96 - 109,POR - UTAH,400828376,1,Allen Crabbe misses free throw 1 of 2,Allen Crabbe,regular,12-Dec,2015 - 2016,0,6:41
96 - 109,POR - UTAH,400828376,1,Allen Crabbe makes free throw 2 of 2,Allen Crabbe,regular,13 - 12,2015 - 2016,1,6:41
96 - 109,POR - UTAH,400828376,1,Noah Vonleh makes free throw 1 of 2,Noah Vonleh,regular,14 - 12,2015 - 2016,1,5:52
96 - 109,POR - UTAH,400828376,1,Noah Vonleh makes free throw 2 of 2,Noah Vonleh,regular,15 - 12,2015 - 2016,1,5:52
96 - 109,POR - UTAH,400828376,1,C.J. McCollum misses technical free throw,C.J. McCollum,regular,15 - 14,2015 - 2016,0,4:50
96 - 109,POR - UTAH,400828376,1,Ed Davis makes free throw 1 of 1,Ed Davis,regular,25 - 25,2015 - 2016,1,0:01
96 - 109,POR - UTAH,400828376,2,Jeff Withey makes free throw 1 of 2,Jeff Withey,regular,27 - 26,2015 - 2016,1,11:30
96 - 109,POR - UTAH,400828376,2,Jeff Withey misses free throw 2 of 2,Jeff Withey,regular,27 - 26,2015 - 2016,0,11:30
96 - 109,POR - UTAH,400828376,2,Gordon Hayward makes free throw 1 of 1,Gordon Hayward,regular,33 - 49,2015 - 2016,1,5:18
96 - 109,POR - UTAH,400828376,3,Noah Vonleh makes free throw 1 of 2,Noah Vonleh,regular,40 - 60,2015 - 2016,1,10:33
96 - 109,POR - UTAH,400828376,3,Noah Vonleh makes free throw 2 of 2,Noah Vonleh,regular,41 - 60,2015 - 2016,1,10:33
96 - 109,POR - UTAH,400828376,3,Mason Plumlee misses free throw 1 of 2,Mason Plumlee,regular,41 - 62,2015 - 2016,0,9:44
96 - 109,POR - UTAH,400828376,3,Mason Plumlee makes free throw 2 of 2,Mason Plumlee,regular,42 - 62,2015 - 2016,1,9:44
96 - 109,POR - UTAH,400828376,3,C.J. McCollum misses technical free throw,C.J. McCollum,regular,42 - 68,2015 - 2016,0,8:26
96 - 109,POR - UTAH,400828376,3,Chris Johnson makes free throw 1 of 1,Chris Johnson,regular,46 - 73,2015 - 2016,1,6:16
96 - 109,POR - UTAH,400828376,3,Allen Crabbe makes free throw 1 of 1,Allen Crabbe,regular,55 - 75,2015 - 2016,1,4:03
96 - 109,POR - UTAH,400828376,3,Trey Burke makes free throw 1 of 2,Trey Burke,regular,55 - 76,2015 - 2016,1,3:28
96 - 109,POR - UTAH,400828376,3,Trey Burke misses free throw 2 of 2,Trey Burke,regular,55 - 76,2015 - 2016,0,3:28
96 - 109,POR - UTAH,400828376,3,Trevor Booker makes free throw 1 of 2,Trevor Booker,regular,59 - 79,2015 - 2016,1,2:12
96 - 109,POR - UTAH,400828376,3,Trevor Booker misses free throw 2 of 2,Trevor Booker,regular,59 - 79,2015 - 2016,0,2:12
96 - 109,POR - UTAH,400828376,3,Gordon Hayward makes free throw 1 of 2,Gordon Hayward,regular,61 - 80,2015 - 2016,1,1:32
96 - 109,POR - UTAH,400828376,3,Gordon Hayward makes free throw 2 of 2,Gordon Hayward,regular,61 - 81,2015 - 2016,1,1:32
96 - 109,POR - UTAH,400828376,3,Maurice Harkless makes free throw 1 of 2,Maurice Harkless,regular,70 - 86,2015 - 2016,1,0:02
96 - 109,POR - UTAH,400828376,3,Maurice Harkless makes free throw 2 of 2,Maurice Harkless,regular,71 - 86,2015 - 2016,1,0:02
96 - 109,POR - UTAH,400828376,4,Jeff Withey makes free throw 1 of 1,Jeff Withey,regular,74 - 91,2015 - 2016,1,10:07
91 - 103,ORL - WSH,400828377,1,Tobias Harris makes free throw 1 of 2,Tobias Harris,regular,12-Oct,2015 - 2016,1,5:05
91 - 103,ORL - WSH,400828377,1,Tobias Harris makes free throw 2 of 2,Tobias Harris,regular,12-Nov,2015 - 2016,1,5:05
91 - 103,ORL - WSH,400828377,1,Garrett Temple makes free throw 1 of 2,Garrett Temple,regular,13-Nov,2015 - 2016,1,4:18
91 - 103,ORL - WSH,400828377,1,Garrett Temple makes free throw 2 of 2,Garrett Temple,regular,14-Nov,2015 - 2016,1,4:18
91 - 103,ORL - WSH,400828377,1,Andrew Nicholson makes free throw 1 of 2,Andrew Nicholson,regular,20 - 24,2015 - 2016,1,0:39
91 - 103,ORL - WSH,400828377,1,Andrew Nicholson makes free throw 2 of 2,Andrew Nicholson,regular,21 - 24,2015 - 2016,1,0:39
91 - 103,ORL - WSH,400828377,2,Ramon Sessions misses free throw 1 of 2,Ramon Sessions,regular,21 - 24,2015 - 2016,0,11:41
91 - 103,ORL - WSH,400828377,2,Ramon Sessions makes free throw 2 of 2,Ramon Sessions,regular,21 - 25,2015 - 2016,1,11:41
91 - 103,ORL - WSH,400828377,2,John Wall makes free throw 1 of 2,John Wall,regular,37 - 40,2015 - 2016,1,2:30
91 - 103,ORL - WSH,400828377,2,John Wall makes free throw 2 of 2,John Wall,regular,37 - 41,2015 - 2016,1,2:30
91 - 103,ORL - WSH,400828377,2,Tobias Harris misses free throw 1 of 1,Tobias Harris,regular,39 - 43,2015 - 2016,0,0:59
91 - 103,ORL - WSH,400828377,3,Aaron Gordon misses free throw 1 of 1,Aaron Gordon,regular,72 - 69,2015 - 2016,0,1:06
91 - 103,ORL - WSH,400828377,4,Kris Humphries makes free throw 1 of 2,Kris Humphries,regular,74 - 73,2015 - 2016,1,10:15
91 - 103,ORL - WSH,400828377,4,Kris Humphries makes free throw 2 of 2,Kris Humphries,regular,74 - 74,2015 - 2016,1,10:15
91 - 103,ORL - WSH,400828377,4,John Wall makes technical free throw,John Wall,regular,78 - 83,2015 - 2016,1,6:39
91 - 103,ORL - WSH,400828377,4,John Wall makes free throw 1 of 1,John Wall,regular,81 - 91,2015 - 2016,1,4:58
91 - 103,ORL - WSH,400828377,4,Victor Oladipo makes free throw 1 of 2,Victor Oladipo,regular,82 - 93,2015 - 2016,1,3:41
91 - 103,ORL - WSH,400828377,4,Victor Oladipo makes free throw 2 of 2,Victor Oladipo,regular,83 - 93,2015 - 2016,1,3:41
82 - 106,DAL - MIA,400828378,2,Chris Bosh makes free throw 1 of 2,Chris Bosh,regular,23-Oct,2015 - 2016,1,11:30
82 - 106,DAL - MIA,400828378,2,Chris Bosh misses free throw 2 of 2,Chris Bosh,regular,23-Oct,2015 - 2016,0,11:30
82 - 106,DAL - MIA,400828378,2,Raymond Felton makes free throw 1 of 2,Raymond Felton,regular,28 - 39,2015 - 2016,1,6:01
82 - 106,DAL - MIA,400828378,2,Raymond Felton makes free throw 2 of 2,Raymond Felton,regular,29 - 39,2015 - 2016,1,6:01
82 - 106,DAL - MIA,400828378,2,Luol Deng makes free throw 1 of 2,Luol Deng,regular,31 - 40,2015 - 2016,1,5:22
82 - 106,DAL - MIA,400828378,2,Luol Deng makes free throw 2 of 2,Luol Deng,regular,31 - 41,2015 - 2016,1,5:22
82 - 106,DAL - MIA,400828378,2,Zaza Pachulia misses free throw 1 of 1,Zaza Pachulia,regular,35 - 45,2015 - 2016,0,3:17
82 - 106,DAL - MIA,400828378,2,Zaza Pachulia makes free throw 1 of 2,Zaza Pachulia,regular,44 - 56,2015 - 2016,1,0:21
82 - 106,DAL - MIA,400828378,2,Zaza Pachulia makes free throw 2 of 2,Zaza Pachulia,regular,45 - 56,2015 - 2016,1,0:21
82 - 106,DAL - MIA,400828378,3,Deron Williams makes free throw 1 of 2,Deron Williams,regular,59 - 78,2015 - 2016,1,2:02
82 - 106,DAL - MIA,400828378,3,Deron Williams misses free throw 2 of 2,Deron Williams,regular,59 - 78,2015 - 2016,0,2:02
82 - 106,DAL - MIA,400828378,4,Dirk Nowitzki makes technical free throw,Dirk Nowitzki,regular,67 - 85,2015 - 2016,1,9:56
82 - 106,DAL - MIA,400828378,4,Gerald Green makes free throw 1 of 1,Gerald Green,regular,67 - 88,2015 - 2016,1,9:36
82 - 106,DAL - MIA,400828378,4,Dirk Nowitzki makes free throw 1 of 2,Dirk Nowitzki,regular,72 - 92,2015 - 2016,1,7:20
82 - 106,DAL - MIA,400828378,4,Dirk Nowitzki makes free throw 2 of 2,Dirk Nowitzki,regular,73 - 92,2015 - 2016,1,7:20
82 - 106,DAL - MIA,400828378,4,Zaza Pachulia makes free throw 1 of 2,Zaza Pachulia,regular,74 - 94,2015 - 2016,1,6:30
82 - 106,DAL - MIA,400828378,4,Zaza Pachulia makes free throw 2 of 2,Zaza Pachulia,regular,75 - 94,2015 - 2016,1,6:30
82 - 106,DAL - MIA,400828378,4,Hassan Whiteside misses free throw 1 of 2,Hassan Whiteside,regular,77 - 96,2015 - 2016,0,5:07
82 - 106,DAL - MIA,400828378,4,Hassan Whiteside makes free throw 2 of 2,Hassan Whiteside,regular,77 - 97,2015 - 2016,1,5:07
82 - 106,DAL - MIA,400828378,4,Dwight Powell makes free throw 1 of 2,Dwight Powell,regular,78 - 97,2015 - 2016,1,4:28
82 - 106,DAL - MIA,400828378,4,Dwight Powell misses free throw 2 of 2,Dwight Powell,regular,78 - 97,2015 - 2016,0,4:28
82 - 106,DAL - MIA,400828378,4,Tyler Johnson makes free throw 1 of 2,Tyler Johnson,regular,80 - 106,2015 - 2016,1,0:43
82 - 106,DAL - MIA,400828378,4,Tyler Johnson misses free throw 2 of 2,Tyler Johnson,regular,80 - 106,2015 - 2016,0,0:43
94 - 104,CHA - TOR,400828379,1,Jonas Valanciunas makes free throw 1 of 2,Jonas Valanciunas,regular,3-Apr,2015 - 2016,1,10:33
94 - 104,CHA - TOR,400828379,1,Jonas Valanciunas makes free throw 2 of 2,Jonas Valanciunas,regular,4-Apr,2015 - 2016,1,10:33
94 - 104,CHA - TOR,400828379,1,Cody Zeller makes free throw 1 of 2,Cody Zeller,regular,15-Nov,2015 - 2016,1,6:13
94 - 104,CHA - TOR,400828379,1,Cody Zeller makes free throw 2 of 2,Cody Zeller,regular,15-Dec,2015 - 2016,1,6:13
94 - 104,CHA - TOR,400828379,1,Cody Zeller misses free throw 1 of 2,Cody Zeller,regular,18 - 20,2015 - 2016,0,4:22
94 - 104,CHA - TOR,400828379,1,Cody Zeller makes free throw 2 of 2,Cody Zeller,regular,19 - 20,2015 - 2016,1,4:22
94 - 104,CHA - TOR,400828379,1,DeMar DeRozan makes technical free throw,DeMar DeRozan,regular,22 - 23,2015 - 2016,1,2:13
94 - 104,CHA - TOR,400828379,1,Brian Roberts makes free throw 1 of 2,Brian Roberts,regular,23 - 25,2015 - 2016,1,1:44
94 - 104,CHA - TOR,400828379,1,Brian Roberts makes free throw 2 of 2,Brian Roberts,regular,24 - 25,2015 - 2016,1,1:44
94 - 104,CHA - TOR,400828379,2,Frank Kaminsky III makes free throw 1 of 2,Frank Kaminsky,regular,35 - 36,2015 - 2016,1,8:56
94 - 104,CHA - TOR,400828379,2,Frank Kaminsky III makes free throw 2 of 2,Frank Kaminsky,regular,36 - 36,2015 - 2016,1,8:56
94 - 104,CHA - TOR,400828379,2,Jonas Valanciunas makes free throw 1 of 2,Jonas Valanciunas,regular,46 - 45,2015 - 2016,1,5:01
94 - 104,CHA - TOR,400828379,2,Jonas Valanciunas makes free throw 2 of 2,Jonas Valanciunas,regular,46 - 46,2015 - 2016,1,5:01
94 - 104,CHA - TOR,400828379,2,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,regular,48 - 47,2015 - 2016,1,4:20
94 - 104,CHA - TOR,400828379,2,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,regular,48 - 48,2015 - 2016,1,4:20
94 - 104,CHA - TOR,400828379,2,Nicolas Batum makes technical free throw,Nicolas Batum,regular,51 - 50,2015 - 2016,1,3:03
94 - 104,CHA - TOR,400828379,2,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,regular,51 - 51,2015 - 2016,1,2:42
94 - 104,CHA - TOR,400828379,2,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,regular,51 - 52,2015 - 2016,1,2:42
94 - 104,CHA - TOR,400828379,2,Kemba Walker makes free throw 1 of 2,Kemba Walker,regular,54 - 55,2015 - 2016,1,0:18
94 - 104,CHA - TOR,400828379,2,Kemba Walker makes free throw 2 of 2,Kemba Walker,regular,55 - 55,2015 - 2016,1,0:18
94 - 104,CHA - TOR,400828379,3,Jonas Valanciunas misses free throw 1 of 1,Jonas Valanciunas,regular,62 - 57,2015 - 2016,0,8:59
94 - 104,CHA - TOR,400828379,3,Cody Zeller makes free throw 1 of 2,Cody Zeller,regular,63 - 57,2015 - 2016,1,8:40
94 - 104,CHA - TOR,400828379,3,Cody Zeller makes free throw 2 of 2,Cody Zeller,regular,64 - 57,2015 - 2016,1,8:40
94 - 104,CHA - TOR,400828379,3,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,regular,73 - 70,2015 - 2016,1,3:46
94 - 104,CHA - TOR,400828379,3,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,regular,73 - 71,2015 - 2016,1,3:46
94 - 104,CHA - TOR,400828379,3,Nicolas Batum misses technical free throw,Nicolas Batum,regular,75 - 71,2015 - 2016,0,1:42
94 - 104,CHA - TOR,400828379,3,Nicolas Batum makes free throw 1 of 2,Nicolas Batum,regular,76 - 71,2015 - 2016,1,1:42
94 - 104,CHA - TOR,400828379,3,Nicolas Batum makes free throw 2 of 2,Nicolas Batum,regular,77 - 71,2015 - 2016,1,1:42
94 - 104,CHA - TOR,400828379,4,Bismack Biyombo makes free throw 1 of 2,Bismack Biyombo,regular,82 - 78,2015 - 2016,1,11:03
94 - 104,CHA - TOR,400828379,4,Bismack Biyombo makes free throw 2 of 2,Bismack Biyombo,regular,82 - 79,2015 - 2016,1,11:03
94 - 104,CHA - TOR,400828379,4,Marvin Williams makes free throw 1 of 2,Marvin Williams,regular,87 - 92,2015 - 2016,1,5:56
94 - 104,CHA - TOR,400828379,4,Marvin Williams makes free throw 2 of 2,Marvin Williams,regular,88 - 92,2015 - 2016,1,5:56
94 - 104,CHA - TOR,400828379,4,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,regular,94 - 101,2015 - 2016,1,0:29
94 - 104,CHA - TOR,400828379,4,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,regular,94 - 102,2015 - 2016,1,0:29
94 - 104,CHA - TOR,400828379,4,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,regular,94 - 103,2015 - 2016,1,0:16
94 - 104,CHA - TOR,400828379,4,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,regular,94 - 104,2015 - 2016,1,0:16
81 - 108,NY - CHI,400828380,1,Taj Gibson makes free throw 1 of 2,Taj Gibson,regular,16-Apr,2015 - 2016,1,5:30
81 - 108,NY - CHI,400828380,1,Taj Gibson makes free throw 2 of 2,Taj Gibson,regular,17-Apr,2015 - 2016,1,5:30
