1 Did you move to Chico to attend College?,2 How may classes are you taking this semester,3 How often do you procrastinate on your assignments?,4  Where do you typically study or do your homework?,5   What was your GPA last semester?,6  Have you taken a class that's required for your major that you were not interested in?,7  How different was your home environment while in high school compared to now while in college?,8  In a typical week when do your homework or study?,9  What time of day do you feel you process lecture information from class the best?,10 What sources do you typically get your news from?,"11  How often do you feel focused and engaged in class (not specifically statistics, any class)?","12  On a scale of 1 to 10, how would you rate your ability to stay focused on a single task for an extended period of time?","13 In a typical week, how many hours do you spend socializing real time with others not in person (e.g. online or over text)?","14  In a typical week, how many hours do you spend working at a job?","15  In a typical week, how many hours do you spend on schoolwork and studying?","16  On a typical day, how many hours do you spend on social media (any platform)?","17  In a typical week, how many hours do you spend socializing real time with others in person?","18  In a typical week, how many hours do you spend engaging in moderate physical activity (e.g. playing sports, exercising)?","19  In a typical week, how many times do you go out to party?","20  On a typical day, how many hours do you spend on Instagram and Snapchat combined (specifically these platforms)?","21  On a typical day, how many hours do you spend on the internet (non-social media and non-school related activities)?","22 In a typical week, how frequently do you eat from fast food restaurants, convenience stores, or vending machines for a meal or meal replacement?",23  How often do you purchase items that are promoted by an influencer on social media?,"24  On a scale of 1 to 10, how much do you prefer big-name brands over lesser-known brands?",25  Where do you usually shop for groceries?,26 How old are you?,27 What is your gender identity?,28 How many times a month do you go grocery shopping?,29  How productive do you feel after eating a meal?,"30 On a typical day, how many meals do you eat?","31  On a typical day, how much caffeine do you consume? Please consider all sources such as coffee, tea, energy drinks, and soda.",32  How would you describe your current dietary habits and diet quality?,33 How many roommates do you have?,"34  On a scale of 1 to 10, how satisfied are you with your current living arrangement?",35  How long (in minutes) is your typical commute to class?,36  How often are you worried about other peoples opinions of you?,37 Have you visited the Wildcat Food pantry?,"38  Do you consider yourself an extrovert (thrive on social interaction and seek external stimulation), an introvert (prefer solitude and find energy in alone time), or an ambivert (mix/middle ground between those two)","39  On a scale from 1 to 10, how much stress do you experience when dealing with schoolwork?","40  On a scale of 1 to 10, how well do you feel you are managing your stress and emotions in your day-to-day life?","41  Your relationship with yourself involves self-awareness, self-acceptance, and self-care, among others. On a scale from 1 to 10, how would you rate your relationship with yourself?",42  How would you describe your general health?,"43  On a scale of 1 to 10, how would you rate the overall quality of your sleep in a typical week?",44  In a typical week how many days do you feel that you get enough sleep?,"45  On a typical school night, how many hours of sleep do you get?","46  On a typical school night, what time do you go to bed?",47  Do you think others view you differently because of your culture?,48  Are you in a/any romantic relationship/s?,49  Do you participate in any school-based extracurricular activities?,"50 When you don't understand a homework problem/assignment, what is the first place you go to seek clarity?",51  Do you play multiplayer online games that have significant person-to-person interactions?,52  How would you describe your current social life?
Yes,5,Occasionally,Home,3.2,No,4,Immediately after class,Afternoon,TikTok (pre ban),Often,8,3,0,20,2,60,5,2,1,1,3,Rarely,8,"Supermarkets like Raleys, Safeway and Winco",18,Male,1,Moderatly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,7,5,Occasionally,Yes,Ambivert,6,5,7,Good,8,5,9,12am-2am,No,No,Yes,Classmate,Yes,Good
Yes,4,Rarely,,3.5,Yes,5,Immediately after class,Afternoon,IG,Often,8,5,0,24,3,15,15,0,4,2,1,Never,6,"Supermarkets like Raleys, Safeway and Winco",18,Male,4,Somewhat,3,None,Vey good,1,6,15,Frequently,No,Introvert,4,7,8,Good,7,5,7,12am-2am,No,No,No,AI (Chat GPT etc),Yes,Poor
Yes,5,Rarely,Home,3.1,No,5,On the weekend,Mid-day,Local News stations,Often,6,20,0,5,2,60,15,1,1,12,2,Never,3,"Supermarkets like Raleys, Safeway and Winco",18,Male,2,Slightly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,1,8,5,Occasionally,No,Ambivert,4,3,6,Very Good,8,4,8,10pm-12am,No,Yes,Yes,Google,Yes,Excellent
Yes,6,Rarely,Home,2.9,Yes,5,Immediately after class,Afternoon,IG,Often,9,3,0,18,5,15,8,0,4,5,3,Never,5,"Supermarkets like Raleys, Safeway and Winco",19,Male,12,Very,3,None,Vey good,5,9,30,Rarely,Yes,Ambivert,6,9,9,Excellent,9,7,8,8-10 pm,No,Yes,Yes,AI (Chat GPT etc),Yes,Very good
Yes,4,Occasionally,Library,3,Yes,5,In the evening,Mid-day,TikTok (pre ban),Often,6,3,18,6,4,40,4,0,1,6,1,Never,6,Big box or superstores like Walmart and Target,18,Female,1,Moderatly,3,None,Good,0,10,5,Never,Yes,Ambivert,5,9,10,Very Good,9,5,8,8-10 pm,No,Yes,No,Google,No,Excellent
Yes,5,Frequently,Home,3.7,Yes,4,In the evening,Mid-day,"Bluesky/Mastadon - other Twitter ""like"" text feeds",Sometimes,7,10,0,5,2,25,15,0,0,5,5,Never,3,Online,18,Male,0,Moderatly,5,None,Good,1,8,5,Rarely,No,Ambivert,3,7,8,Very Good,7,6,8,12am-2am,No,Yes,No,AI (Chat GPT etc),Yes,Good
Yes,5,Frequently,Home,3.8,Yes,3,Late at night,Morning,TikTok (pre ban),Sometimes,5,10,16,2,22,20,20,0,22,23,4,Rarely,7,"Supermarkets like Raleys, Safeway and Winco",19,Female,3,Somewhat,1,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Fair,2,10,5,Occasionally,No,Ambivert,3,7,8,Good,7,5,6,12am-2am,No,Yes,No,AI (Chat GPT etc),No,Good
Yes,5,Occasionally,Library,2.9,No,5,In the evening,Mid-day,Friends or Family,Sometimes,8,45,0,7,20,6,6,1,0.5,6,2,Rarely,5,"Supermarkets like Raleys, Safeway and Winco",24,Male,10,Somewhat,4,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,4,7,25,Occasionally,Yes,Introvert,7,7,6,Good,6,3,7,10pm-12am,Yes,No,No,Classmate,Yes,Fair
Yes,5,Occasionally,Home,3.8,Yes,5,In the evening,Mid-day,TikTok (pre ban),Often,5,10,24,12,4,10,16,0,0.5,0.5,3,Never,7,"Supermarkets like Raleys, Safeway and Winco",18,Male,3,Slightly,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,2,10,5,Rarely,No,Ambivert,2,10,9,Good,7,4,7.5,12am-2am,No,Yes,No,Classmate,Yes,Good
Yes,5,Sometimes,common area on campus,3.9,Yes,4,On the weekend,Afternoon,TikTok (pre ban),Sometimes,3,60,0,15,10,100,20,1,4,8,2,Never,6,"Supermarkets like Raleys, Safeway and Winco",19,Female,4,Somewhat,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,2,9,5,Sometimes,Yes,Ambivert,7,3,7,Good,3,2,5,10pm-12am,No,No,Yes,Classmate,Yes,Fair
Yes,5,Sometimes,common area on campus,3.9,Yes,2,In the evening,Morning,TikTok (pre ban),Often,5,2,0,8,2,35,6,2,2,0,1,Rarely,6,Big box or superstores like Walmart and Target,19,Female,4,Somewhat,2,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,2,7,5,Sometimes,Yes,Extrovert,5,8,9,Very Good,9,5,8,10pm-12am,No,No,Yes,AI (Chat GPT etc),No,Excellent
Yes,5,Occasionally,Library,3.3,No,4,In the evening,Mid-day,Local News stations,Often,9,10,0,30,24,50,20,2,13,12,1,Never,5,Big box or superstores like Walmart and Target,18,Female,3,Very,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Good,1,9,5,Rarely,Yes,Extrovert,3,8,10,Very Good,8,5,7,,No,No,Yes,Instructor,Yes,Excellent
Yes,4,Occasionally,Home,2.6,Yes,3,In the evening,Morning,Friends or Family,Often,6,3,0,8,3,13,5,8,3,2,2,Sometimes,7,"Supermarkets like Raleys, Safeway and Winco",18,Female,3,Moderatly,3,"101-200 mg (e.g., 1 small cup of brewed coffee or 1 can of Red Bull)",Vey good,3,,20,Sometimes,No,Ambivert,5,7,8,Very Good,9,5,8,10pm-12am,No,No,No,Classmate,No,Very good
Yes,5,Sometimes,Home,3,No,4,In the evening,Mid-day,Friends or Family,Sometimes,5,5,0,4,3,1,0,0,2,4,3,Rarely,5,Other,19,Female,0,Somewhat,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,1,4,15,Rarely,No,Introvert,8,5,6,Fair,6,2,6,10pm-12am,No,No,No,Classmate,No,Fair
Yes,6,Sometimes,Library,3,Yes,5,Late at night,Morning,TikTok (pre ban),Rarely,7,5,18,30,5,50,25,1,5,15,5,Sometimes,5,"Supermarkets like Raleys, Safeway and Winco",19,Male,2,Slightly,3,None,Fair,3,8,7,Rarely,Yes,Extrovert,5,8,8,Good,7,0,7,10pm-12am,No,Yes,No,AI (Chat GPT etc),No,Very good
Yes,5,Sometimes,Home,3.5,Yes,5,In the evening,Mid-day,IG,Always,9,2,0,8.5,2,5,10,2,2.5,3,0,Never,5,Online,19,Male,0,Moderatly,3,None,Excellent,3,3,30,Frequently,No,Introvert,5,4,6,Very Good,8,6,9,10pm-12am,No,No,Yes,Google,Yes,Fair
Yes,6,Sometimes,Library,3.9,Yes,3,In the evening,Mid-day,"Traditional news outlets (WSJ, NYT, Fox, NPR)",Sometimes,8,4,5,10,6,30,5,3,8,4,3,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",19,Female,4,Very,3,"201-300 mg (e.g., 1 large brewed coffee or 1 Monster energy drink)",Good,3,5,15,Frequently,No,Ambivert,5,8,9,Very Good,6,5,7,12am-2am,Yes,No,Yes,AI (Chat GPT etc),No,Very good
Yes,5,Sometimes,Home,2.5,Yes,4,In the evening,Morning,TikTok (pre ban),Sometimes,6,20,0,12,7,20,4,1,3,8,5,Sometimes,3,"Supermarkets like Raleys, Safeway and Winco",18,Female,2,Somewhat,1,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Fair,3,7,25,Sometimes,Yes,Ambivert,7,6,8,Fair,5,2,5,10pm-12am,Yes,Yes,Yes,Google,No,Good
Yes,5,Frequently,Library,3.7,No,5,Between classes,Mid-day,TikTok (pre ban),Often,8,6,0,3,2,45,4,1,3,4,2,Never,7,Big box or superstores like Walmart and Target,18,Female,2,Somewhat,2,"0-100 mg (e.g., 1 cup of black tea or 1 can of soda)",Good,1,9,10,Occasionally,No,Ambivert,5,8,8,Very Good,10,7,10,10pm-12am,No,No,Yes,Google,Yes,Very good
No,5,Sometimes,Home,2.5,Yes,2,In the evening,Mid-day,TikTok (pre ban),Sometimes,7,10,30,15,5,10,12,1,3,5,7,Rarely,6,"Supermarkets like Raleys, Safeway and Winco",22,Male,2,Moderatly,4,"301-400 mg (e.g., 2 small coffees or 2 cans of Red Bull)",Excellent,4,10,5,Never,Yes,Introvert,7,8,7,Excellent,7,3,6,12am-2am,No,No,No,Textbook,,Very good
